,Team ID,Game ID,isHome,didWin,Self Team Score,Opp Team Score,Prev Games,Prev ORtg,Prev DRtg,New ORtg,New DRtg,KRACH,WinPct,RPI,OWP,OOWP,SOS
8631,189.0,401172693.0,0.0,1.0,77.0,71.0,23.0,106.09097313775244,104.81184278037942,105.97970596310756,105.6439249210742,138,0.6774193548387096,0.5500105829256702,0.5215971386994747,0.501675640510628,110.14773910296219
8632,2050.0,401172694.0,0.0,0.0,59.0,72.0,24.0,101.42294307175399,92.87002836379123,100.7128164569549,101.45024500619087,156,0.5806451612903226,0.4978632047869007,0.4599123992009597,0.5049613540790168,89.02196697591644
8633,2199.0,401172703.0,0.0,0.0,55.0,64.0,22.0,91.6095363013761,94.6216079155258,91.85397178926048,92.5457377755881,92,0.5,0.4971643500050546,0.5285679697084731,0.5029500320318433,121.09187325348354
8634,2711.0,401172708.0,0.0,0.0,61.0,71.0,25.0,99.2292893829402,107.98962331739092,98.76974717857418,99.3200699532868,51,0.40625,0.46428412145938,0.496942301920055,0.4965852153307436,106.58028226597818
8635,2050.0,401172714.0,0.0,0.0,63.0,69.0,27.0,101.20563577200281,93.16662654651134,100.7174444374367,101.01518688098824,156,0.5806451612903226,0.4978632047869007,0.4599123992009597,0.5049613540790168,89.02196697591644
8636,2117.0,401172718.0,0.0,0.0,68.0,85.0,26.0,102.71831879277724,106.76253540936155,102.49632778008151,103.39192557128516,67,0.4375,0.4685823037551373,0.49597350514838207,0.503071859896199,107.4943264700413
8637,2050.0,401172725.0,0.0,1.0,75.0,54.0,29.0,101.41359124347305,93.3826394837722,101.96361886768196,100.86308428129772,156,0.5806451612903226,0.4978632047869007,0.4599123992009597,0.5049613540790168,89.02196697591644
8638,189.0,401169810.0,0.0,0.0,79.0,88.0,0.0,0.0,0.0,101.93261125749912,113.54518722354332,138,0.6774193548387096,0.5500105829256702,0.5215971386994747,0.501675640510628,110.14773910296219
8639,2440.0,401186099.0,0.0,1.0,77.0,62.0,7.0,105.00717274518264,101.93176004610213,105.93300923966896,103.19565863818178,336,0.6129032258064516,0.5528185120873766,0.5367794094535929,0.5248120036358691,196.99613075673423
8640,2450.0,401172623.0,0.0,1.0,72.0,67.0,8.0,87.45598499971861,104.97103613075261,89.41030398785999,88.59977269238941,26,0.5161290322580645,0.4508697774964742,0.4240346616876756,0.4739283051290642,27.707013322756428
8641,2309.0,401172630.0,0.0,1.0,79.0,61.0,11.0,110.78886776521186,98.66925219020429,110.67228609757757,108.59526291238264,159,0.625,0.5334697303598745,0.5193475148425093,0.4951838917544794,104.63732170737153
8642,193.0,401172735.0,0.0,0.0,76.0,78.0,12.0,103.68137396344751,108.18592386667393,104.26576364098764,104.49102364052506,67,0.40625,0.4739798131578422,0.520370836300573,0.488510913363556,107.32104748903299
8643,189.0,401172643.0,0.0,1.0,83.0,74.0,13.0,103.4755161605344,102.12369740579113,105.46315088579456,104.44617875083105,138,0.6774193548387096,0.5500105829256702,0.5215971386994747,0.501675640510628,110.14773910296219
8644,189.0,401172647.0,0.0,1.0,85.0,82.0,14.0,105.46315088579456,103.19091847856943,106.23417122817754,105.95881015518567,138,0.6774193548387096,0.5500105829256702,0.5215971386994747,0.501675640510628,110.14773910296219
8645,2459.0,401172654.0,0.0,0.0,64.0,66.0,16.0,98.16367154575279,98.95521450231472,98.41537416825614,98.60368780084492,104,0.5806451612903226,0.4959411109638409,0.4612929165566443,0.4945119440754082,81.34962931116833
8646,2199.0,401172658.0,0.0,0.0,59.0,62.0,14.0,85.86875865488169,95.24596329269717,85.73586303162783,86.02018616486878,92,0.5,0.4971643500050546,0.5285679697084731,0.5029500320318433,121.09187325348354
8647,189.0,401172661.0,0.0,1.0,85.0,79.0,17.0,105.13509927115706,102.58169641535393,106.24043573605238,105.75011747864349,138,0.6774193548387096,0.5500105829256702,0.5215971386994747,0.501675640510628,110.14773910296219
8648,189.0,401172670.0,0.0,1.0,78.0,77.0,19.0,105.71819373499096,102.5150855672846,105.71661550877305,105.64886766953545,138,0.6774193548387096,0.5500105829256702,0.5215971386994747,0.501675640510628,110.14773910296219
8649,189.0,401172676.0,0.0,0.0,82.0,92.0,20.0,105.71661550877305,102.60591491021441,106.31466590114157,107.00151650363001,138,0.6774193548387096,0.5500105829256702,0.5215971386994747,0.501675640510628,110.14773910296219
8650,2649.0,401172684.0,0.0,0.0,83.0,85.0,22.0,108.68715521178692,105.04090822523149,109.21645508602543,109.34307745618707,114,0.53125,0.5038029284512615,0.5027552108045585,0.4935722599378644,90.15078047662114
8651,195.0,401172700.0,0.0,0.0,61.0,62.0,24.0,102.50431563940309,103.78530394605629,102.3040982031592,102.36803189478758,117,0.53125,0.501899066810644,0.5003785167578271,0.5068392337269217,115.82401792296105
8652,189.0,401172736.0,0.0,0.0,55.0,73.0,26.0,105.90233405632088,103.41548887074272,105.09006145733416,106.10789144380304,138,0.6774193548387096,0.5500105829256702,0.5215971386994747,0.501675640510628,110.14773910296219
8653,189.0,401172715.0,0.0,0.0,69.0,83.0,27.0,105.09006145733416,103.71315163546852,104.65496450613492,105.32820614978529,138,0.6774193548387096,0.5500105829256702,0.5215971386994747,0.501675640510628,110.14773910296219
