Game ID,Home Team ID,Away Team ID,Home Team Score,Away Team Score,Home Team # Previous Games,Home Team Previous ORtg,Home Team Previous DRtg,Away Team # Previous Games,Away Team Previous ORtg,Away Team Previous DRtg,Home Team New ORtg,Home Team New DRtg,Away Team New ORtg,Away Team New DRtg
401168544,221,183,49,72,28,101.28306186319216,99.7069922079595,27,109.79704875048861,103.25548430709433,100.23579510256849,99.86184431195501,109.59707212453648,108.40830864529637
401211585,154,221,72,81,30,103.89099563443045,105.61534154283345,31,99.85118983483495,100.44889120943742,104.04729800389137,106.15447295189314,100.55360312823647,100.12885168648758
401168161,183,258,34,48,0,0,0,0,0,0,58.687809621348556,82.85337828896266,82.85337828896266,58.687809621348556
401168180,183,2142,70,54,1,58.687809621348556,82.85337828896266,2,108.15219501044484,113.61345370497705,85.18913474521807,84.50729509398654,100.82186730663337,109.33161662999242
401168190,183,2547,89,67,2,85.18913474521807,84.50729509398654,2,81.7370931090577,109.20047704302274,98.37149621268857,87.6390457289168,85.79224440563091,96.07013512191497
401168202,183,172,72,53,3,98.37149621268857,87.6390457289168,4,103.07146479067481,104.2386461150763,107.91474288367303,90.85726205196954,102.55955403676539,109.76606841186512
401168211,183,2083,97,46,4,107.91474288367303,90.85726205196954,5,103.66348963287697,107.30184166079353,112.68946565736806,85.18532389023298,96.80250323461193,108.35096748608883
401168223,183,197,72,86,5,112.68946565736806,85.185323890233,5,103.50610645629695,86.37683730524624,109.78745038942462,89.95502492768223,105.22234373273551,102.13465105519869
401182559,183,213,64,85,6,109.78745038942462,89.95502492768222,6,109.71554828206128,85.16095295236147,106.83282009177017,94.01039693800598,110.9479883846166,106.77118971403017
401168238,183,2294,54,68,7,106.83282009177019,94.01039693800595,7,113.74041648422164,99.95360892093514,104.08651386813654,95.61706301655073,112.88083011948945,110.13066071153155
401168248,46,183,89,79,9,109.72498758206368,102.20725841164031,9,106.75059440274194,94.23462192171505,111.17859172315885,103.01644413277764,107.1054465247691,108.5016378617693
401168263,183,2473,74,62,10,107.1054465247691,97.23726262884509,10,93.05471989570496,99.05391647355681,108.06634179702004,97.36049460142038,93.55818302583845,95.29295395241628
401168281,183,315,71,57,12,110.52088963055363,99.03011202890323,10,97.86609118763482,116.63306788751888,110.35634092006754,98.10554232188181,96.87923797399753,98.82206075187113
401168535,183,259,63,67,14,111.76236002074404,100.49338415356956,14,110.01300861795315,94.55754264630754,111.18660923953283,101.10541101557773,109.9903938490024,109.55388126359466
401168475,258,183,55,63,14,94.40709911454177,80.99715581273618,15,111.18660923953283,101.10541101557772,93.46145914744335,81.72342721347272,109.98064783854855,109.25135238756613
401168537,259,183,69,71,17,109.70785055320906,94.58247714948482,17,110.38930315976111,98.45469655025519,109.74790833277683,95.64065775194133,110.56932676164672,110.3915024611871
401168541,183,154,75,73,22,111.29585296752246,101.86158030753788,22,102.6233168443016,103.80675465234137,111.11654218045271,101.96819823917481,102.69681579607924,102.82107284519797
401168171,258,256,65,34,1,82.85337828896266,58.687809621348556,1,103.40455777581272,96.85996551152077,89.44398880377116,54.460646170918196,76.81902024815028,99.71957854719619
401168191,258,171,60,42,2,89.44398880377116,54.460646170918196,3,94.80075244054999,90.8221314306502,93.14065137438605,59.765025300922495,88.69401022064525,96.23405845931644
401183487,258,9,48,45,5,95.88836654230185,69.85059986601709,4,105.78303832471322,79.90466932933694,94.1857235516086,71.59516269014067,100.69002602192226,101.76093237939907
401168243,2509,258,69,40,7,108.28135340671534,89.54865236196986,7,92.92693392944597,68.2608509428169,109.93817466954295,87.16202179566102,90.11801816720262,96.50305762693223
401168276,258,2579,59,70,10,91.39325736274496,75.5978976161218,11,101.20517322707381,93.85488564399073,91.7456121112985,79.00092567841331,102.19067598326167,100.7105054245538
